Time	VALVE 179	LAG 382	LAG 386	VALVE 228
	POSITION	OUT	OUT	POSITION
		SIGNAL	SIGNAL	
				
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
94	0	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	0	0	0	0
102	20	0	0	0
103	20	0	0	0
104	20	0	0	0
105	20	0	0	0
106	20	0	0	0
107	20	0	0	0
108	20	0	0	10
109	20	0	0	10
110	20	0	0	10
111	20	0	0	10
112	20	0	0	10
113	20	0	0	10
114	20	0	0	10
115	20	0	0	10
116	20	0	0	10
117	20	0	0	10
118	20	0	0	10
119	20	0	0	10
120	20	0	0	10
121	20	0	0	10
122	20	0	0	10
123	20	0	0	10
124	20	0	0	10
125	20	0	0	10
126	20	0	0	10
127	20	0	0	10
128	20	0	0	10
129	20	0	0	10
130	20	0	0	10
131	20	0	0	10
132	20	0	0	10
133	20	0	0	10
134	20	0	0	10
135	20	0	0	10
136	20	0	0	10
137	20	0	0	10
138	20	0	0	10
139	20	0	0	10
140	20	0	0	10
141	20	0	0	10
142	20	0	0	10
143	20	0	0	10
144	20	0	0	10
145	20	0	0	10
146	20	0	0	10
147	20	0	0	10
148	20	0	0	10
149	20	0	0	10
150	20	0	0	10
151	20	0	0	10
152	20	0	0	10
153	20	0	0	10
154	20	0	0	10
155	20	0	0	10
156	20	0	0	10
157	20	0	0	10
158	20	0	0	10
159	20	0	0	10
160	20	0	0	10
161	20	0	0	10
162	20	0	0	10
163	20	0	0	10
164	20	0	0	10
165	20	0	0	10
166	20	0	0	10
167	20	0	0	10
168	20	0	0	10
169	20	0	0	10
170	20	0	0	10
171	20	0	0	10
172	20	0	0	10
173	20	0	0	10
174	20	0	0	10
175	20	0	0	10
176	20	0	0	10
177	20	0	0	10
178	20	0	0	10
179	20	0	0	10
180	20	0	0	10
181	20	0	0	10
182	20	0	0	10
183	20	0	0	10
184	20	0	0	10
185	20	0	0	10
186	20	0	0	10
187	20	0	0	10
188	20	0	0	10
189	20	0	0	10
190	20	0	0	10
191	20	0	0	10
192	20	0	0	10
193	20	0	0	10
194	20	0	0	10
195	20	0	0	10
196	20	0	0	10
197	20	0	0	10
198	20	0	0	10
199	20	0	0	10
200	20	0	0	10
201	20	0	0	10
202	20	0	0	10
203	20	0	0	10
204	20	0	0	10
205	20	0	0	10
206	20	0	0	10
207	20	0	0	10
208	20	20.5315	0	10
209	20	20.0599	0	10
210	20	19.8691	0	10
211	20	19.7755	0	10
212	20	19.7226	0	10
213	20	19.6894	0	10
214	20	19.6671	0	10
215	20	19.6511	0	10
216	20	19.6392	0	10
217	20	19.6301	0	10
218	20	19.623	0	10
219	20	19.6173	0	10
220	20	19.6126	0	10
221	20	19.6088	0	10
222	20	19.6056	0	10
223	20	19.6029	0	10
224	20	19.6005	0	10
225	20	19.5985	0	10
226	20	19.5967	0	10
227	20	19.5951	0	10
228	20	19.5937	0	10
229	20	19.5924	0	10
230	20	19.5912	0	10
231	20	19.5902	0	10
232	20	19.5892	0	10
233	20	19.5884	0	10
234	20	19.5877	0	10
235	20	19.587	0	10
236	20	19.5864	0	10
237	20	19.5859	0	10
238	20	19.5854	0	10
239	20	19.585	0	10
240	29	19.5846	0	10
241	29	19.5842	0	10
242	29	19.5839	0	10
243	29	19.5837	0	10
244	29	19.5834	0	10
245	29	19.5832	0	10
246	29	19.583	0	10
247	29	19.5828	0	10
248	29	19.5827	0	10
249	29	19.5825	0	10
250	29	19.5824	0	10
251	29	19.5823	0	10
252	29	19.5822	0	10
253	29	19.5821	14.605	10
254	29	19.582	14.746	10
255	29	19.5819	14.7894	10
256	29	19.5819	14.811	10
257	29	19.5818	14.8238	10
258	29	19.5818	14.8321	10
259	29	19.5817	14.8378	10
260	29	19.5817	14.8419	10
261	29	19.5816	14.8449	10
262	29	19.9011	14.8472	10
263	29	20.187	14.8497	10
264	29	20.443	14.8528	10
265	29	20.6721	14.8569	10
266	29	20.8772	14.8621	10
267	29	21.0608	14.8684	10
268	29	21.2252	14.876	10
269	29	21.3723	14.8847	10
270	29	21.504	14.8945	10
271	29	21.6218	14.9055	10
272	29	21.7273	14.9174	10
273	29	21.8218	14.9304	10
274	29	21.9063	14.9442	10
275	29	21.982	14.9589	10
276	29	22.0497	14.9743	10
277	29	22.1103	14.9906	10
278	29	22.1646	15.008	10
279	29	22.2131	15.0265	10
280	29	22.2566	15.0459	10
281	29	22.2955	15.0663	10
282	29	22.3304	15.0875	10
283	29	22.3615	15.1096	10
284	29	22.3895	15.1323	10
285	29	22.4144	15.1556	10
286	29	22.4368	15.1796	10
287	29	22.4568	15.204	10
288	29	22.4747	15.2289	10
289	29	22.4908	15.2542	10
290	29	22.5051	15.2799	10
291	29	22.518	15.3058	10
292	29	22.5295	15.3319	10
293	29	22.5398	15.3582	10
294	29	22.549	15.3847	10
295	29	22.5572	15.4112	10
296	29	22.5646	15.4378	10
297	29	22.5712	15.4644	10
298	29	22.5771	15.491	10
299	29	22.5824	15.5175	10
300	29	22.5872	15.5439	10
301	29	22.5914	15.5702	10
302	29	22.5952	15.5964	10
303	29	22.5986	15.6224	10
304	29	22.6016	15.6482	10
305	29	22.6044	15.6738	10
306	29	22.6068	15.6991	10
307	29	22.609	15.7242	10
308	29	22.6109	15.7491	10
309	29	22.6127	15.7736	10
310	29	22.6142	15.7979	10
311	29	22.6156	15.8219	10
312	29	22.6169	15.8455	10
313	29	22.618	15.8689	10
314	29	22.619	15.8919	10
315	29	22.6199	15.9146	10
316	29	22.6207	15.9369	10
317	29	22.6214	15.9589	10
318	29	22.6221	15.9805	10
319	29	22.6227	16.0018	10
320	29	22.6232	16.0227	10
321	29	22.6236	16.0433	10
322	29	22.624	16.0635	10
323	29	22.6244	16.0834	10
