Time	tank shape = vertical	VALVE 172
	LEVEL	POSITION
		
		
2.53	9.77083	50
2.54	9.79677	50
2.55	9.82269	50
2.56	9.84852	50
2.57	9.87432	50
2.58	9.90007	50
2.59	9.92574	50
2.6	9.95139	50
2.61	9.97695	50
2.62	10.0025	50
2.63	10.028	50
2.64	10.0534	50
2.65	10.0788	50
2.66	10.104	50
2.67	10.1293	50
2.68	10.1545	50
2.69	10.1797	50
2.7	10.2048	50
2.71	10.2298	50
2.72	10.2548	50
2.73	10.2798	50
2.74	10.3047	50
2.75	10.3295	50
2.76	10.3543	50
2.77	10.3791	50
2.78	10.4038	50
2.79	10.4284	50
2.8	10.453	50
2.81	10.4775	50
2.82	10.502	50
2.83	10.5265	50
2.84	10.5509	50
2.85	10.5752	50
2.86	10.5995	50
2.87	10.6238	50
2.88	10.648	50
2.89	10.6721	50
2.9	10.6962	50
2.91	10.7203	50
2.92	10.7443	50
2.93	10.7682	50
2.94	10.7921	50
2.95	10.816	50
2.96	10.8398	50
2.97	10.8636	50
2.98	10.8873	50
2.99	10.9109	50
3	10.9346	50
3.01	10.9581	50
3.02	10.9817	50
3.03	11.0051	50
3.04	11.0286	50
3.05	11.052	50
3.06	11.0753	50
3.07	11.0986	50
3.08	11.1218	50
3.09	11.145	50
3.1	11.1682	50
3.11	11.1913	50
3.12	11.2144	50
3.13	11.2374	50
3.14	11.2604	50
3.15	11.2833	50
3.16	11.3062	50
3.17	11.329	50
3.18	11.3518	50
3.19	11.3746	50
3.2	11.3973	50
3.21	11.4199	50
3.22	11.4425	50
3.23	11.4651	50
3.24	11.4876	50
3.25	11.5101	50
3.26	11.5326	50
3.27	11.555	50
3.28	11.5773	50
3.29	11.5996	50
3.3	11.6219	50
3.31	11.6441	50
3.32	11.6663	50
3.33	11.6884	50
3.34	11.7105	50
3.35	11.7326	50
3.36	11.7546	50
3.37	11.7766	50
3.38	11.7985	50
3.39	11.8204	50
3.4	11.8422	50
3.41	11.864	50
3.42	11.8858	50
3.43	11.9075	50
3.44	11.9291	50
3.45	11.9508	50
3.46	11.9724	50
3.47	11.9939	50
3.48	12.0154	50
3.49	12.0369	50
3.5	12.0583	50
3.51	12.0797	50
3.52	12.1011	50
3.53	12.1224	50
3.54	12.1436	50
3.55	12.1649	50
3.56	12.186	50
3.57	12.2072	50
3.58	12.2283	50
3.59	12.2493	50
3.6	12.2704	50
